% Title Citation Classification
 % 
 % Sources 
 % a Creator Lucas Lopes Resende
 % b Donor USPTO
 % c Date April, 
 % 
 @RELATION Patent
@ATTRIBUTE citation String
@ATTRIBUTE class {"General Science & Technology","Physics & Astronomy","Social Sciences","Enabling & Strategic Technologies","Built Environment & Design","Biology","Information & Communication Technologies","Agriculture, Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Engineering","Clinical Medicine","Chemistry","Economics & Business ","Biomedical Research"}
@DATA
"secure hash standard national institute of standards and technology","General Science & Technology"
" swenson nist selects winner of secure hash algorithm sha competition national institute of standards and technology","General Science & Technology"
" nist special publication a rev transitions recommendation for transitioning the use of cryptographic algorithms and key lengths national institute of standards and technology u sdepartment of commerce gaithersburg md usa nov doi nist sp ar nov ","General Science & Technology"
" nistp national institute of standards and technology jul recommended elliptic curves for federal government useavailable http csrc nist gov groups st toolkit documents dss nistrecur doc jul ","General Science & Technology"
"mel et al the nist definition of cloud computing recommendations of the national institute of standards and technologynov ","General Science & Technology"
" mell et al the nist definition of cloud computing recommendations of the national institute of standards and technology u sdepartment of commerce special publication sep s","General Science & Technology"
" mell et al the nist definition of cloud computing recommendations of the national institute of standards and technology special publication sep s","General Science & Technology"
" mell et al the nist definition of cloud computing recommendations of the national institute of standards and technology national institute of standards and technology special publication sep s","General Science & Technology"
" mell et al the nist definition of cloud computing national institute of standards and technology sep p special publication ","General Science & Technology"
" measurement of the rheological properties of cement paste the national institute of standards and technology ferrarisc ","General Science & Technology"
" testing and modeling of fresh concrete rheology national institute of standards and technology ferraris cand larrard ffeb ","General Science & Technology"
" wasan et al the welling and spreading of nanofluids on solids role of the structural disjoining pressure current opinion in colloid & interface science ","Physics & Astronomy"
" bresme et al nanoparticles at fluid interfaces journal of physics condensed matter s","Physics & Astronomy"
" homsy viscous fingering in porous media annual review of fluid mechanics","Physics & Astronomy"
" http people rit edu vjrnts courses matter labs buoyancy buoyancy lab htm l processes of science physics of matter archimedes' principle and buoyancy lab # ","Physics & Astronomy"
" lviana de freitas et al spectrochimica acta part a molecular and biomolecular spectroscopy ","Physics & Astronomy"
" lviana de freitas et al spectrochimica acta part a molecular and biomolecular spectroscopy year ","Physics & Astronomy"
" viana let al spectrochimica acta part a molecular and biomolecular spectroscopy ","Physics & Astronomy"
" grier d a revolution in optical manipulation deptof physics james franck institute and institute for biophysical dynamics the university of chicagomay ","Social Sciences"
" jinn shing cheng et al an e book hub service based on a cloud platform international review of research in open & distance learning vol issue p ","Social Sciences"
" andelman et al morphological control and photoluminescence of zinc oxide nanocrystals jphyschemb ","Enabling & Strategic Technologies"
" kim et al bioceramic effects to enhance secondary metabolites production in tissue culture of some medicinal plants korean jmedicinal crop sci ","Enabling & Strategic Technologies"
" gindri izabelle m et al preparation of tio nanoparticies coated with ionic liquids a supramolecular aroach acs alied materials & interfaces ","Enabling & Strategic Technologies"
" stroeve et al contrasting safety assessments of a runway incursion scenario event sequence analysis versus multi agent dynamic risk modelling reliability engineering & system safety vol issue ","Enabling & Strategic Technologies"
" simchi a et al recent progress in inorganic and composite coatings with bactericidal capability for orthopaedic alications nanomedicine nanotechnology biology and medicine ","Enabling & Strategic Technologies"
" svensson sara et al osseointegration of titanium with an antimicrobial nanostructured noble metal coating nanomedicine nanotechnology biology and medicine ","Enabling & Strategic Technologies"
" zhao bingran et al soft tissue integration versus early biofilm formation on different dental implant materials dental materials ","Enabling & Strategic Technologies"
" dekker rommert alications of maintenance optimization models a review and analysis reliability engineering and system safety vol ","Enabling & Strategic Technologies"
" suberu mohammed yekini energy storage system for renewable energy power sector integration and mitigation of intermittency renewable and sustainable energy reviews journal home www elsevier com locate rser","Enabling & Strategic Technologies"
" liang c c et al a high energy density solid state battery system jelectrochemsoc electrochemical science and technology apr ","Enabling & Strategic Technologies"
"abed et al intrusion detection system for alications using linux containers security and trust management vol of the series lecture notes in computer science oct ","Enabling & Strategic Technologies"
" bakunin v n et al synthesis and alication of inorganic nanoparticles as lubricant components a review journal of nanoparticle research an interdisciplinary forum for nanoscale science and technology kluwer academic publishers do vol no jun ","Enabling & Strategic Technologies"
" fernandes amet al worldwide survey of published procedures to culture human embryonic stem cells cell transplantation exhibit ","Enabling & Strategic Technologies"
" lee h habas se kweskin s butcher d somorjai ga yang pmorphological control of catalytically active platinum nanocrystals angewcheminted ","Enabling & Strategic Technologies"
" zeng y zeng j ruditskiy a liu m xia y oxidative etching and its role in manipulating the nucleation and growth of noble metal nanocrystalschemistry of materials ","Enabling & Strategic Technologies"
" burda c chen x narayanan r el sayed ma chemistry and properties of nanocrystals of different shapeschemical reviews ","Enabling & Strategic Technologies"
" hu y liu y sun ymesoporous colloidal superparticles of platinum group nanocrystals with surfactant free surfaces and enhanced heterogeneous catalysisadvfunctmater ","Enabling & Strategic Technologies"
" kern christoph et al formal verification in hardware design a survey acm transactions on design automation of electronic systems vol no apr s ","Built Environment & Design"
" liu et al dynamic scheduling of flexible manufacturing system using suort vector machines proceedings of the ieee international conference on automation science and engineering edmonton canada aug & ","Biology"
" hai hang cui separation of particles by pulsed dielectrophoresislab chip the royal society of chemistry ","Biology"
" lisen wang dielectrophoresis switching with vertical sidewall electrodes for microfluidic flow cytometrylab chip the royal society of chemistry ","Biology"
" david jcollins particle separation using virtual deterministic lateral displacement vdld lab chip the royal society of chemistry published on feb ","Biology"
" dino di carlo et al dynamic single cell culture array lab chip the royal society of chemistry first as an advance article on the web sep ","Biology"
" ryan dsochol et al hydrodynamic resettability for a microfluidic particulate based arraying system lab chip the royal society of chemistry published on sep ","Biology"
" eagle nathan et al inferring friendship network structure by using mobile phone data proceedings of the national academy of sciences ","Biology"
" tseng et al controlled biosynthesis of odd chain fuels and chemicals via engineered modular metabolic pathways proceedings of the national academy of sciences vol no oct ","Biology"
" marshall et al the compound eyes of mantis shrimps crustacea hoplocarida stomatopoda icompound eye structure the detection of polarized light philosophical transactions of the royal society of london series b biological sciences vol no published oct online issn copyright copyrgtthe royal society <http rstb royalsocietypublishing org content >","Biology"
" aykots et al from the cover pyridopyrimidine derivatives as inhibitors of cyclic nucleotide synthesis alication for treatment of diarrhea proceedings of the national academy of sciences vol no jun jun xp issn doi pnas ","Biology"
" yildiz et al experimental study on the productivity complex well configurations spe international conference on horizontal well technology nov calgary alberta canada copyright society of petroleum engineers inc","Biology"
" barati cnet al directional cell search for millimeter wave cellular systems ieee th international workshop on signal processing advances in wireless communications spawc ","Information & Communication Technologies"
" hu et al a survey on visual surveillance of object motion and behavior ieee transactions on systems man and cybernetics vol no ","Information & Communication Technologies"
" guerreiro igor met al power efficient beam sweeping for initial synchronization in mm wave wireless networks ieee th international workshop on signal processing advances in wireless communications spawc ","Information & Communication Technologies"
" kellingsen salient evident detection in video surveillance scenarios master's thesis at department of computer science and media technology gjovik university college ","Information & Communication Technologies"
" dahle investigation of how hydrophilic silica nanoparticles affect oil recovery in berea sandstone ntnu trondheim norwegian university of science and technology jun s","Information & Communication Technologies"
" kerry et al digital signature standard dss information technology laboratory national institute of standards and technology jul ","Information & Communication Technologies"
" nist federal information processing standard fips advanced encryption standard aes national institute of standards and technology u sdepartment of commercegaithersburg md usa nov available http csrc nist gov publications fips fips fips pdfnov ","Information & Communication Technologies"
" nist federal information processing standard fips secure hash standard shs national institute of standards and technology u sdepartment of commerce nist gaithersburg md usa aug doi nist fips aug ","Information & Communication Technologies"
" nist federal information processing standard fips sha standard permutation based hash and extendable output functions national institute of standards and technology u sdepartment of commercegaithersburg md usa aug doi nist fips aug ","Information & Communication Technologies"
" altshuler yaniv et al trade offs in social and behavioral modeling in mobile networks social computing behavioral cultural modeling and prediction vol of the series lecture notes in computer science apr ","Information & Communication Technologies"
" federal information processing standard fips digital signature standard dss national institute of standards and technology u sdepartment of commerce national institute of standards and technology u sdepartment jul ","Information & Communication Technologies"
" burger ket al sample based surface coloring ieee transactions on visualization and computer graphics vol no sep oct ","Information & Communication Technologies"
" phithakkitnukoon santi et al activity aware map identifying human daily activity pattern using mobile phone data human behavior understanding vol of the series lecture notes in computer science ","Information & Communication Technologies"
" porter joseph et al towards model based integration of tools and techniques for embedded control system design verification and implementation models in software engineering lecture notes in computer science vol s total ","Information & Communication Technologies"
" whiteaker et al explaining packet delays under virtualization acm sigcomm computer communication review vol no jan ","Information & Communication Technologies"
" tsafrir d et al backfilling using system generated predictions rather than user runtime estimates ieee transactions on parallel and distributed systems jun vol no ","Information & Communication Technologies"
" bhargavan karthikeyan et al verified interoperable implementations of security protocols acm transactions on programming languages and systems vol no article dec s ","Information & Communication Technologies"
" gupta et al registration and partitioning based compression of d dynamic data ieee transon circuits and systems for video technology vol no nov ","Information & Communication Technologies"
" hadfield et al scene particles unregularized particle based scene flow estimation ieee transon pattern analysis and machine intelligence vol no mar ","Information & Communication Technologies"
" han et al time varying mesh compression using an extended block matching algorithm ieee transon circuits and systems for video technology vol no nov ","Information & Communication Technologies"
" hou et al compressing d human motions via keyframe based geometry videos ieee transon circuits and systems for video technology vol no jan ","Information & Communication Technologies"
" kim et al low bit rate scalable video coding with d set partitioning in hierarchical trees d spiht ieee transon circuits and systems for video technology vol no dec ","Information & Communication Technologies"
" mekuria et al design implementation and evaluation of a point cloud codec for tele immersive video ieee transon circuits and systems for video technology may ","Information & Communication Technologies"
" minami et al d wavelet coding of video with arbitrary regions of suort ieee transon circuits and systems for video technology vol no sep ","Information & Communication Technologies"
" muller et al rate distortion optimized predictive compression of dynamic d mesh sequences journal of signal processing image communication vol issue oct ","Information & Communication Technologies"
" niu et al compass rose a rotational robust signature for optical flow computation ieee transon circuits and systems for video technology vol no jan ","Information & Communication Technologies"
" peng et al technologies for d mesh compression a survey journal of visual communication and image representation vol issue apr ","Information & Communication Technologies"
" wang et al handling occlusion and large displacement through improved rgb d scene flow estimation ieee transon circuits and systems for video technology jul ","Information & Communication Technologies"
" takeda kazutoki et al fault location in optical lines of passive double star networks by pattern matching of otdr waveforms electronics and communications in japan part vol issue scripta technica inc ","Information & Communication Technologies"
" shuni chu et al multirate filter designs using comb filters ieee transactions on circuits and systems volcas no nov copyrgt ieee s","Information & Communication Technologies"
" belongie et al matching with shape contexts department of electrical engineering and computer sciences ieee ","Information & Communication Technologies"
"greenberg et al a clean slate d aroach to network control and management published in newsletter acm sigcomm computer communication review home archive vol issue oct acm digital library year ","Information & Communication Technologies"
" kumar amar et al prediction of exhaust gas temperature in gte by multivariate regression analysis and anomaly detection electrical and computer engineering ccece ieee th canadian conference total s ","Information & Communication Technologies"
" loo c et al impedance matching for rfid tag antennas th annual review of progress in alied computational electromagnetics mar apr niagara falls canada","Information & Communication Technologies"
" tsafrir d et al backfilling using system generated predictions rather than user runtime estimates ieee transactions on parallel and distributed systems jun vol no ","Information & Communication Technologies"
" tsafrir d et al modeling user runtime estimates job scheduling strategies for parallel processing th international workshop jsspp jun s vol of the series lecture notes in computer science","Information & Communication Technologies"
" li et al a token bucket method for packet injection control in deflection routed optical networks th optoelectronics and communications conference oecc technical digest jul saoro convention center japan <http www researchgate net publication sub a sub token sub bucket sub method sub for sub packet sub injection sub co ntrol sub in sub deflection routed sub optical sub networks>","Information & Communication Technologies"
" fitzgibbon andrew et al direct least square fitting of ellipses ieee transactions on pattern analysis and machine intelligence vol ","Information & Communication Technologies"
