% 1. Title: Citation Classification
 % 
 % 2. Sources:
 %  (a) Creator: Lucas Lopes Resende
 %  (b) Donor: USPTO
 %  (c) Date: April 2020
 % 
 @RELATION Patent

@ATTRIBUTE class {"Communication & Textual Studies","Psychology & Cognitive Sciences","General Science & Technology","Social Sciences","Physics & Astronomy","Built Environment & Design","Enabling & Strategic Technologies","Visual & Performing Arts","Biology","Information & Communication Technologies","Agriculture Fisheries & Forestry","Public Health & Health Services","Earth & Environmental Sciences","Mathematics & Statistics","Engineering","Clinical Medicine","Chemistry","Historical Studies","Field English","Economics & Business ","General Arts Humanities & Social Sciences","Biomedical Research","Philosophy & Theology"}
@ATTRIBUTE citation String

@DATA
"Social Sciences","Many large university institutions are now starting to offer free or almost free full courses such as Harvard MIT and Berkeley teaming up to form edX Other universities offering open education are prestigious private universities such as Stanford Princeton Duke Johns Hopkins the University of Pennylvania and Caltech as well as notable public universities including Tsinghua Peking Edinburgh University of Michigan and University of Virginia"
"Social Sciences","The overarching methodological principle of positivism is to conduct sociology in broadly the same manner as natural science An emphasis on empiricism and the scientific method is sought to provide a tested foundation for sociological research based on the assumption that the only authentic knowledge is scientific knowledge and that such knowledge can only arrive by positive affirmation through scientific methodology"
"Social Sciences","Social knowledge has the specifics in comparison with knowledge of natural sciences Such method as observation is used in historical sciences widely"
"Social Sciences","The contemporary discipline of sociology is theoretically multi paradigmatic in line with the contentions of classical social theory In Randall Collins' well cited survey of sociological theory he retroactively labels various theorists as belonging to four theoretical traditions Functionalism Conflict Symbolic Interactionism and Utilitarianism Modern sociological theory descends predominantly from functionalist Durkheim and conflict centred Marx and Weber accounts of social structure as well as the symbolic interactionist tradition consisting of micro scale structural Simmel and pragmatist Mead Cooley theories of social interaction Utilitarianism also known as Rational Choice or Social Exchange although often associated with economics is an established tradition within sociological theory Lastly as argued by Raewyn Connell a tradition that is often forgotten is that of Social Darwinism which brings the logic of Darwinian biological evolution and applies it to people and societies This tradition often aligns with classical functionalism It was the dominant theoretical stance in American sociology from around to and is associated with several founders of sociology primarily Herbert Spencer Lester F Ward and William Graham Sumner Contemporary sociological theory retains traces of each of these traditions and they are by no means mutually exclusive"
"Social Sciences","Stallwitz A Community Mindedness Protection against Crime in the Context of Illicit Drug Cultures International Journal of Rural Criminology "
"Social Sciences","natural sciences and social sciences seek to characterize physical systems and social systems respectively using empirical methods the formal sciences are"
"Social Sciences","The contemporary discipline of sociology is theoretically multi paradigmatic in line with the contentions of classical social theory In Randall Collins' well cited survey of sociological theory he retroactively labels various theorists as belonging to four theoretical traditions Functionalism Conflict Symbolic Interactionism and Utilitarianism Modern sociological theory descends predominantly from functionalist Durkheim and conflict centred Marx and Weber accounts of social structure as well as the symbolic interactionist tradition consisting of micro scale structural Simmel and pragmatist Mead Cooley theories of social interaction Utilitarianism also known as Rational Choice or Social Exchange although often associated with economics is an established tradition within sociological theory Lastly as argued by Raewyn Connell a tradition that is often forgotten is that of Social Darwinism which brings the logic of Darwinian biological evolution and applies it to people and societies This tradition often aligns with classical functionalism It was the dominant theoretical stance in American sociology from around to and is associated with several founders of sociology primarily Herbert Spencer Lester F Ward and William Graham Sumner Contemporary sociological theory retains traces of each of these traditions and they are by no means mutually exclusive"
"Social Sciences","Sutton M Schneider J and Hetherington S Tackling Theft with the Market Reduction Approach Crime Reduction Research Series paper Home Office LondonArchived copyPDF Archived from the original PDF on December Retrieved May"
"Social Sciences","a b c d Ferrell Jeff August Cultural criminologyAnnual Review of Sociology doi annurevsoc ISSN "
"Social Sciences","Political science is methodologically diverse and appropriates many methods originating in psychology social research and cognitive neuroscience Approaches include positivism interpretivism rational choice theory behavioralism structuralism post structuralism realism institutionalism and pluralism Political science as one of the social sciences uses methods and techniques that relate to the kinds of inquiries sought primary sources such as historical documents and official records secondary sources such as scholarly journal articles survey research statistical analysis case studies experimental research and model building"
