Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field

Dynamic link state routing protocol,"10,554,538",H04L 45/122 (20130101); H04L 41/12 (20130101); H04L 45/02 (20130101); H04L 43/10 (20130101); H04L 45/121 (20130101); H04L 45/123 (20130101); H04L 43/103 (20130101); H04L 45/12 (20130101); H04L 43/106 (20130101); H04L 63/061 (20130101); H04L 45/70 (20130101); H04L 45/124 (20130101); H04L 43/08 (20130101); H04L 43/50 (20130101); H04L 45/125 (20130101); H04L 63/06 (20130101),"H04L 12/24 (20060101); H04L 12/751 (20130101); H04L 29/06 (20060101); H04L 12/733 (20130101); H04L 12/729 (20130101); H04L 12/727 (20130101); H04L 12/721 (20130101); H04L 12/26 (20060101)Spohn; Marcelo (Porto Alegre, BR), Gangi; Raghu (Dublin, CA)","ADARA NETWORKS, INC.","A router and methods for routing packets in a network are described. The router and methods are implemented with a dynamic link state routing protocol (DLSP). The router dynamically computes a best path from one or more paths by periodically probing links of peer nodes to determine link metrics associated with a link. The one or more link metrics include a link bandwidth to a peer node and a link latency to the peer node. Further, the router can dynamically recalculate the one or more link metrics associated with the link every 10 seconds. The router can also monitor one or more link state changes based on the one or more link metrics, wherein the link state changes are monitored every 60 second. The router can further determine a single link metric based on the link bandwidth to the peer node and the link latency to the peer node.","ADARA NETWORKS, INC.",US,"PCT International Search Report for PCT/US2018/050765 dated Nov. 30, 2018. cited by applicant . PCT Written Opinion of the International Searching Authority for PCT/US2018/050765 dated Nov. 30, 2018. cited by applicant . S. Baillargeon, C. Flinta, A. Johnsson, Ericsson, ""Ericsson Two-Way Active Measurement Protocol (TWAMP) Value-Added Octets"", Internet Engineering Task Force (IETF), ISSN: 2070-1721, Category: Informational, Nov. 2012, pp. 1-16. cited by applicant . A. Siddiqui, D. Romascanu, Avaya, E. Golovinsky, Alert Logic, ""Real-time Application Quality-of-Service Monitoring (RAQMON) Framework"", Network Working Group, Category: Standards Track, Oct. 2006, pp. 1-36. cited by applicant . K. Hedayat, Brix Networks, R. Krzanowski, Verizon, A. Morton AT&T Labs, K. Yum, Juniper Networks, J. Babiarz, Nortel Networks, , A Two-Way Active Measurement Protocol (TWAMP), Network Working Group, Category: Standards Track, Oct. 2008, pp. 1-26. cited by applicant . Bang Ye Wu, Kun-Mao Chao, ""Shortest-Paths Trees"", pp. 1-15, An excerpt from the book ""Spanning Trees and Optimization Problems,"" by Bang Ye Wu and Kun-Kao Chao, 2004, Chapman & Hall/CRC Press, USA. cited by applicant . Nick McKeown, Guru Parulkar, Scott Shenker, Tom Anderson, Larry Peterson, Hari Balakrishnan, Jennifer Rexford, Jonathan Turner, ""OpenFlow: Enabling Innovation in Campus Networks"", Mar. 14, 2008, 6 pages. cited by applicant . IP SLAs Configuration Guide, Cisco IOS XE Release 3S, First Published Nov. 5, 2012, 356 pages, downloaded from http://cisco.com/c/en/us/td/docs/ios-xml/ios/ipsla/configuration/xe-3s/sl- a-xe-3s-book/sla_twamp.html on Apr. 4, 2019. cited by applicant . TWAMP Explained, Measuring Performance in IP Networks, Sep. 2014, 10 pages, downloaded from https://www.slideshare.net/nirc1963/what-istwamp on Apr. 4, 2019. cited by applicant."

Detecting violation of aircraft separation requirements,"10,553,121",G06F 16/316 (20190101); G08G 5/006 (20130101); G08G 5/0026 (20130101); G08G 5/0034 (20130101); G08G 5/0013 (20130101); G08G 5/0039 (20130101); G06Q 10/047 (20130101); G08G 5/00 (20130101); G05D 1/06 (20130101); G05D 1/0676 (20130101); G06G 7/70 (20130101); G08G 5/003 (20130101); G08G 5/04 (20130101),"G08G 5/00 (20060101); G06F 16/31 (20190101); G06G 7/70 (20060101); G06Q 10/04 (20120101); G08G 5/04 (20060101); G05D 1/06 (20060101)de Oliveira; Italo Romani (Sao Jose dos Campos, BR), Ribeiro; Vitor Filincowsky (Brasilia, BR), Weigang; Li (Brasilia, BR), Garcia; Reinaldo Crispiniano (Brasilia, BR)",The Boeing Company The University of Brasilia,"A computing system obtains flight information comprising a plurality of waypoints for each of a plurality of aircraft flight paths, and detects a violation of aircraft separation requirements at a given time instance. Each waypoint specifies an altitude, a longitudinal position, a latitudinal position, a velocity, and a time instance. Detecting the violation comprises selecting a set of time-correlated waypoints from the flight information, each time-correlated waypoint specifying the given time instance. The detecting further comprises selecting a set of altitude-correlated waypoints from the set of time-correlated waypoints, each of the altitude-correlated waypoints being vertically-separated from at least one other altitude-correlated waypoint by less than a threshold vertical separation. The detecting further comprises determining that first and second position-correlated waypoints from the set of altitude-correlated waypoints are vertically-separated from each other by less than the threshold vertical separation and horizontally-separated from each other by less than a threshold horizontal separation.",THE BOEING COMPANY,US BR,No other references field

Visually showing how recently a change was made to a document by using color intensity and/or typeface and/or font and/or emphasis,"10,552,991",G06T 11/001 (20130101),"G06T 11/00 (20060101)Broomhall; Matthew E. (Goffstown, NH), Dotson; Christopher R. (Lexington, KY), Caldas; Fabrizio N. (Sumare, BR), Spano; Michael R. (Cary, NC)",INTERNATIONAL BUSINESS MACHINES CORPORATION,"The present disclosure relates generally to the field of visually showing how recently a change was made to a document (e.g., using color intensity and/or typeface and/or font and/or emphasis). In various embodiments, systems, methods and computer program products are provided.",International Business Machines Corporation,US,"Ferrate, Andres, Getting Started with Google Wave, O'Reilly (Year: 2009). cited by examiner . http://en.wikipedia.org/wiki/Typeface,""Typeface"" printed Apr. 8, 2015. cited by applicant . http://en.wikipedia.org/wiki/Font, ""Font"" printed Apr. 8, 2015. cited by applicant . http://mashable.com/2009/05/28/google-wave-guide/, ""Google Wave: A complete Guide"" printed Jun. 30, 2015. cited by applicant . http://mashable.com/2009/05/28/google-wave/, ""Could Google Wave Redefine Email and Web Communication"" printed Jun. 30, 2015. cited by applicant."

User interface and system supporting user decision making and readjustments in computer-executable job allocations in the cloud,"10,552,223",G06F 9/5055 (20130101); G06Q 10/06311 (20130101); G06F 9/4881 (20130101); G06F 9/5077 (20130101); G06F 9/5038 (20130101),"G06F 9/50 (20060101); G06Q 10/06 (20120101); G06F 9/48 (20060101)Netto; Marco A. S. (Sao Paulo, BR), Sultanum; Nicole B. (Sao Paulo, BR), Cunha; Renato L. d. F. (Sao Paulo, BR)",International Business Machines Corporation,A visual tool may be provided to display information associated with computer job allocation and to allow a user to explore different job configurations. Jobs executing on a computing environment comprising a shared pool of configurable computing resources may be monitored. Cost and duration estimates may be determined with uncertainty associated with the cost and duration estimates. Sandbox environment may be provided that allow users to manipulate one or more different job configuration options for executing the jobs in the computing environment.,International Business Machines Corporation,US,No other references field

Agglomerative algorithm for graph clustering,"10,552,129",G06F 9/3867 (20130101); G06F 8/31 (20130101); G06F 16/358 (20190101); G06F 8/443 (20130101),"G06F 8/41 (20180101); G06F 9/38 (20180101); G06F 16/35 (20190101); G06F 8/30 (20180101)Salgado; Cesar (Porto Alegre, BR), Netto; Gustavo Marques (Sao Leopoldo, BR), Moura; Leonardo Fernando dos Santos (Porto Alegre, BR), Boos; Rodrigo Augusto (Porto Alegre, BR)",SAP SE,"Disclosed herein are system, method, and computer program product embodiments for determining clusters of operations in a data processing pipeline. By clustering the operations according to the operations' programming languages using the algorithm disclosed herein, performance efficiency gains can be achieved. The algorithm is iterative, traversing all operations in a data processing pipeline with subsequent iterations addressing the clustering regime determined by prior iterations.",SAP SE,DE,No other references field

Method to correct eccentricity in ultrasonic image profiles,"10,551,518",G01V 1/48 (20130101); G01V 2210/59 (20130101),"G01V 1/48 (20060101)Jesus; Candida Menezes de (Rio de Janeiro, BR), Compan; Andre Luiz Martins (Rio de Janeiro, BR), Surmas; Rodrigo (Rio de Janeiro, BR)",PETROLEO BRASILEIRO S.A.--PETROBRAS,"This invention relates to a method of correcting eccentricity of ultrasonic image profiles, measured along a section of rock, including the steps of measuring emitted amplitude values (A.sub.0) and measuring transit time values (t.sub..theta.) of ultrasonic acoustic pulses emitted at a range of default angles (.theta.), where the amplitude measured at each angle (A.sub..theta.) is determined by an amplitude decay model in relation to the transit time (t.sub..theta.) defined by A.sub..theta.=A.sub.0e.sup.-t.sup..theta..sup./.tau.I.sub..theta. where .tau. is the decay correction factor; and I.sub..theta. is the reflection coefficient of the rock wall.",PETROLEO BRASILEIRO S.A.--PETROBRAS,BR,No other references field

Thrust washer,"10,550,879",F16C 17/047 (20130101); F16C 33/107 (20130101); F16C 9/02 (20130101); F16C 33/124 (20130101),"F16C 17/04 (20060101); F16C 9/02 (20060101); F16C 33/10 (20060101); F16C 33/12 (20060101)Valverde Pereira; Marcos Manoel (Sao Paulo, BR)",Mahle Metal Leve S/A Mahle International GmbH,"A thrust washer for an internal combustion engine may include a metal base having a contact surface and a slip surface. The contact surface may be in operative communication with an engine block. The slip surface may define at least one ramp section, at least one flat horizontal section, and at least one oil channel. The ramp section and the flat horizontal section may be connected via an asymptotic curved surface. The ramp section may be positioned asymptotically towards the flat horizontal section.",Mahle Metal Leve S/A,BR DE,No other references field

"Production process for stamped parts of high mechanical resistance, through controlled electric heating","10,549,332",B21D 22/022 (20130101); C21D 1/42 (20130101); B21D 37/16 (20130101); C21D 1/673 (20130101); B21D 22/20 (20130101); C21D 1/40 (20130101); B21D 22/02 (20130101); C21D 9/46 (20130101); B21D 22/201 (20130101); B21J 1/06 (20130101),"B21D 22/02 (20060101); C21D 1/42 (20060101); C21D 1/673 (20060101); B21D 37/16 (20060101); B21D 22/20 (20060101); C21D 1/40 (20060101); B21J 1/06 (20060101); C21D 9/46 (20060101)Sportelli; Pietro (Betim, BR)",Aethra Sistemas Automotivos S/A,"A production process for stamped parts carried out from bales of sheets (1), a first moving robot (2), a heating device (3) with a liquid cooling unit (4), a second moving robot (4), a hydraulic press (5) with a specific molding tool, a third moving robot (6), and a conveyor belt (8), controlled by an electronic control unit. Said specific molding tool is provided with channels for cooling done through heat exchange, via water circulation, where the cooling rate is controlled by means of the liquid's flow and temperature control.",AETHRA SISTEMAS AUTOMOTIVOS S/A,BR,No other references field

Aroma release capsules,"10,548,343",A23F 5/48 (20130101); A23P 10/35 (20160801); A23V 2002/00 (20130101),"A23P 10/35 (20160101); A23F 5/48 (20060101)Braga; Ana Luiza (Intermares-Cabedelo-Paraiba, BR), Gunes; Zeynel Deniz (Lausanne, CH), Husny; Joeska (Bern, CH), Pretre; Daniel Andre (Chardonne, CH), Soussan; Elodie (Bern, CH)",NESTEC S.A.,"The present invention relates to a process for producing capsules comprising a composition comprising coffee oil. The invention also relates to capsules obtainable by such process. In addition the invention relates to compositions, food ingredients and food products comprising such capsules.",Societe des Produits Nestle S.A.,CH,No other references field

Sample reader,"D874,016",,"Figueredo; Marcus Vinicius Mazega (Curitiba, BR), Rogal, Jr.; Sergio Renato (Curitiba, BR), Cossetin; Marcelo J nior (Curitiba, BR), Verrissimo; Raquel dos Santos (Curitiba, BR), da Silva; Ricardo Felipe Lopes (Curitiba, BR), Passos; Katya Jaqueline Ribeiro (Curitiba, BR)",Hi Technologies SA,"Current U.S. Class: D24/216 Current International Class: 2401 Field of Search: ;D24/107,169,185,186,216-219,231-234 ;D10/81",Hi Technologies S.A.,BR,No other references field

External rotary operating mechanism for a circuit breaker,"10,546,709",H01H 3/08 (20130101); H01H 71/025 (20130101); H01H 69/00 (20130101); H01H 71/1009 (20130101); H01H 71/56 (20130101); H01H 71/1018 (20130101); H01H 2221/044 (20130101); H01H 2071/565 (20130101); H01H 2221/024 (20130101); H01H 2235/018 (20130101),"H01H 71/56 (20060101); H01H 69/00 (20060101); H01H 71/02 (20060101); H01H 71/10 (20060101)Abdala; Joao Paulo (Jaragua do Sul, BR)",WEG Drives and Controls Automacao LTDA,"An engageable drive engageable operating mechanism for converting a movement of a linear translation operating handle to a rotating handle movement relative to the operative front face engageable with a molded-case circuit breaker. The mechanism includes an external rotating adapter external rotating operating member or alternatively an engageable drive engageable operating mechanism incorporating a handle assembly external rotating operating member, interchangeable with each other; and a gear, a support movable movement-converting support including a rack portion, and a structural support base, wherein the structural support base includes a built-in side opening chamber.",WEG Drives and Controls Automacao Ltda,BR,No other references field

Cognitive traffic signal cycle timer,"10,546,493",G08G 1/0129 (20130101); G08G 1/096741 (20130101); G08G 1/096775 (20130101); G08G 1/0145 (20130101); G08G 1/082 (20130101); G08G 1/096811 (20130101); G08G 1/0112 (20130101); G08G 1/096716 (20130101); G08G 1/083 (20130101); G08G 1/07 (20130101),"G08G 1/083 (20060101); G08G 1/082 (20060101); G08G 1/01 (20060101)Franco; Diego P. R. (Belo Horiozonte, BR), Cavalcanti; Fernando A. (Belo Horizonte, BR), Sylos; Marcos C. (Ribeirao Preto, BR)",International Business Machines Corporation,"A self-learning cycle timer is disclosed. A wait time is measured between a first indication, associated with a stop, and a second indication, associated with movement following the stop, each indication received from a smart device. A geolocation is received from the smart device and a traffic signal identified at the geolocation. The traffic signal's area of influence is determined. The wait time is determined to have occurred inside the area of influence. An average cycle time and a reference time associated with the traffic signal are retrieved from a database. A cycle time associated with the traffic signal is calculated according to the wait time and the reference time. The average cycle time is updated according to the calculated cycle time.",Internationl Business Machines Corporation,US,No other references field

Uncertainty visualization,"10,546,394",G06T 11/00 (20130101); G06T 19/20 (20130101); G06T 2219/2024 (20130101); G06T 2219/2012 (20130101),"G06T 11/00 (20060101)Borrel; Paul (Rio de Janeiro, BR), Buoro; Alvaro Bueno (Rio de Janeiro, BR), Mena Paz; Carmen Nilda (Rio de Janeiro, BR)",International Business Machines Corporation,"A system, method and program product for annotating visualizations with uncertainty information. A system is provided that includes a visualization importer that imports a generated visualization; an uncertainty processor that locates a region of uncertainty in the generated visualization; and a graphics annotator that generates an annotated visualization having uncertainty artifacts that visually identify the region of uncertainty.",International Business Machines Corporation,US,"Unknown; ""Case study: Visualising uncertainty""; dataviz; Improving visualisation--Case study: Visualising uncertainty; OCSI; Copyright 2009; pp. 4; Printed Aug. 24, 2016; <http://www.improving-visualisation.org/case-studies/id=3>. cited by applicant . Unknown; ""MSNBC hurricane maps are live""; stamen design--MSNBC hurricane maps are live; pp. 3; Printed Aug. 24, 2016; <http://content.stamen.com/msnbc_hurricane_maps_are_live>. cited by applicant . Bonneau, Georges-Pierre et al.; ""Overview and State-of-the-Art of Unvertainty Visualization""; Springer; for Research & Development; Sep. 19, 2014; pp. 8; Printed Aug. 24, 2016; <http://rd.springer.com/chapter/10.1007/978-1-4471-6497-5_1>. cited by applicant."

"Method, apparatuses, and computer program products for automatically detecting levels of user dissatisfaction with transportation routes","10,546,307",G06Q 30/0201 (20130101); G06Q 50/26 (20130101),"G06Q 30/02 (20120101); G06Q 50/26 (20120101)Gatti; Maira Athanazio De Cerqueira (Rio de Janeiro, BR), Suzuki; Akiko (Tokyo-to, JP), Villa Real; Lucas C. (Sao Paulo, BR)",International Business Machines Corporation,"An aspect of this invention is a method that includes monitoring sensors to collect information for a transportation route, and generating a graph from the collected information where the graph includes a plurality of nodes, each node representing a stop on the at least one transportation route. Each of respective nodes is associated with a corresponding transportation stop density and a corresponding passenger leaving rate. The corresponding transportation stop density is compared with at least one predetermined density threshold and the corresponding passenger leaving rate is compared with at least one predetermined leaving rate threshold to determine a level of dissatisfaction for each of the respective nodes. A tangible output is generated that identifies a level of user dissatisfaction for each of the plurality of nodes.",International Business Machines Corporation,US,"Velazco (2012) ""Social Transit App Moovit Launches in New York City, Just in Time to Help All Those Hapless Tourists"" (retrieved from http://techcrunch.com/2012/12/20/social-transit-app-moovit-launches-in-ne- w-york-city-just-in-time-to-help-all-those-hapless-tourists/). cited by examiner . Budiono, Oktiani Astuti, ""Customer Satisfaction in Public Bus Transport"", 2009, 56 pgs. cited by applicant . Eboli, Laura, et al., ""Service Quality Attributes Affecting Customer Satisfaction for Bus Transit"", Journal of Public Transportation, vol. 10, No. 3, 2007, pp. 21-34. cited by applicant . Friman, Margareta, et al., ""Service Supply and Customer Satisfaction in Public Transportation: the Quality Paradox"", Journal of Pubic Transportation, vol. 12, No. 4, 2009, pp. 57-69. cited by applicant . Lin, Cheng-Yu, et al., ""A Comfort Measuring System for Public Transportation Systems Using Participatory Phone Sensing"", National Science Council of Taiwan, 5 pgs. cited by applicant."

Presenter/viewer role swapping during ZUI performance with video background,"10,545,626",G09G 5/006 (20130101); G06F 3/04845 (20130101); H04N 5/23296 (20130101); G06T 3/40 (20130101); G09G 5/14 (20130101); G06F 3/0485 (20130101); H04N 5/23216 (20130101); H04N 5/23293 (20130101); G06F 3/0481 (20130101); G06F 16/739 (20190101); G09G 5/00 (20130101); G06F 2203/04806 (20130101); G09G 2340/045 (20130101); G09G 2340/14 (20130101),"G06F 3/0481 (20130101); G06F 3/0484 (20130101); G06F 16/738 (20190101); G09G 5/14 (20060101); H04N 5/232 (20060101); G06T 3/40 (20060101); G06F 3/0485 (20130101)Somlai-Fischer; Adam (Budapest, HU), Weiner; Zsuzsa (Budapest, HU), Alves de Mendonca; Igor Lacerdino (Minas Gerais, BR)","Prezi, Inc.",An electronic presentation system is provided comprising: a computer system including: a processor; a storage device including a plurality of instructions executable by the processor; a display screen; an image frame buffer comprising a sequence of motion picture image frames; wherein the instructions include instructions that configure the processor to cause the display screen to display a sequence of display element transitions responsive to user commands; instructions that configure the processor to composite the motion picture images of the physical scene and a sequence of display element transitions by prioritizing display of the motion picture images of the physical scene in a prioritized scene region of the display screen and prioritizing display of the sequence of display element transitions in a prioritized display region of the display screen.,"Prezi, Inc.",US,"U.S. Appl. No. 15/961,197, Non Final Office Action dated Sep. 5, 2019, 43 pgs. cited by applicant."

Recommending activity sensor usage by image processing,"10,545,578",G06K 9/00711 (20130101); G06F 3/011 (20130101); G06F 3/005 (20130101); G06K 9/00342 (20130101); G06F 3/017 (20130101); G06T 7/20 (20130101); G06T 2207/20084 (20130101),"G06F 3/01 (20060101); G06K 9/00 (20060101); G06T 7/20 (20170101); G06F 3/00 (20060101)Britto Mattos Lima; Andrea (Rio de Janeiro, BR), Barreira Avegliano; Priscilla (Rio de Janeiro, BR), Figueredo de Santana; Vagner (Rio de Janeiro, BR)",International Business Machines Corporation,"Methods, systems, and computer program products for recommending activity sensor usage by image processing are provided herein. A computer-implemented method includes identifying, based on (i) sensor data from one or more sensors during a user activity and (ii) video data associated with the user performing the user activity, positioning of the one or more sensors with respect to the user; identifying the user activity being performed based on the video data; assessing data quality for the sensor data based on (i) the identified positioning of the one or more sensors and (ii) the identified user activity; and generating a recommendation for re-positioning at least one of the one or more sensors based on (i) the assessing and (ii) historical data pertaining to sensor data associated with the identified user activity.",International Business Machines Corporation,US,No other references field

Electrochemical detection method,"10,545,113",G01N 27/3275 (20130101); G01N 27/026 (20130101); G01N 27/327 (20130101),"G01N 33/48 (20060101); G01N 31/00 (20060101); G01N 27/327 (20060101)Davis, Jr.; Jason (Oxford, GB), Bueno; Paulo Roberto (Sao Paulo, BR)","Oxford University Innovation Limited Universidade Estadual Paulista ""Julio de Mesquita Filho""","Electrochemical detection method and related aspects Herein is disclosed an electrochemical test method comprising (i) comparing how a plurality of immittance functions and/or components thereof vary with a change in a parameter of interest for a first system, and then selecting an immittance function or component thereof for use in an electrochemical test; (ii) carrying out an electrochemical test step for a second system to determine at least one value for the immittance function or component thereof selected in step (i), and then, by using a quantitative relationship between the selected immittance function and the parameter of interest, determining a value in the parameter of interest. A computer program and apparatus are also disclosed herein.",ISIS Innovation Limited,GB BR,No other references field

Appliance and method of controlling the appliance,"10,544,979",F25D 11/022 (20130101); F25B 2500/26 (20130101); F25D 2700/12 (20130101); F25B 2600/2511 (20130101); F25D 2700/122 (20130101),"F25D 11/02 (20060101)Clark; Taylor N. (St. Joseph, MI), Almeida; Murilo P. (St. Joseph, MI), Carlotto; Victor S. (Joinville, BR)",Whirlpool Corporation,"An appliance includes a first compartment and a second compartment. A temperature of the first compartment is determined with a first temperature sensor, and a temperature of the second compartment is determined with a second temperature sensor. If the temperature of the first compartment is above a first predetermined value and the temperature of the second compartment is above a second predetermined value, a controller causes the appliance to enter a pulldown mode. Upon entering the pulldown mode, the controller causes a valve to enter a first position where refrigerant flows to a freezer evaporator and is prevented from flowing to a fresh food evaporator.",Whirlpool Corporation,US,No other references field

Thermochemical treatment system for plastic and/or elastomeric waste,"10,544,936",F23G 5/0276 (20130101); B09B 3/0083 (20130101); B09B 3/0016 (20130101); C10B 53/07 (20130101); B29B 17/02 (20130101); C08J 11/12 (20130101); B29B 2017/0255 (20130101),"B29B 17/02 (20060101); C10B 53/07 (20060101); C08J 11/12 (20060101); C10B 3/02 (20060101); B09B 3/00 (20060101); C10G 9/40 (20060101); F23G 5/027 (20060101)Da Igreja; Helio (Toledo, BR)",Da Igreja; Helio,"A thermochemical treatment system for plastic and/or elastomeric waste is described, having three Reaction Units (1), (2) and (3) connected in series, being performed in each Reaction Unit, under positive pressure and low temperature (between 200.degree. C. and 660.degree. C.), one step of the thermochemical treatment process of the plastic and/or elastomeric waste without pretreatment (grinding, washing and drying), through the indirect heating by molten salt coils (5), with the generation of a solid fraction which is continuously drained by an outlet (104); a gas fraction which is treated in a Gas Scrubbing Unit (10) for release into the atmosphere, and a liquid fraction (molten plastic) which is subjected to an endothermic reaction under positive pressure (between 2 and 10 bar) and at temperature above 300.degree. C., which generates a gas fraction that is fed into a Heat Exchanger (13), wherein the condensable gases are converted into fractionated combustible liquids of carbon chains from 5 to 35, and the non-condensable combustible gases are reused for heating the system modules, with the excess heat constituting a thermal battery.",69180027,BR,"V Belgiorno et al. ""Energy from gasification of solid wastes,"" Waste Management, Jan. 2003, pp. 1-15, v. 23, n. 1. cited by applicant . Stantec Consulting LTD., ""Waste to Energy: A Technical Review of Municipal Solid Waste Thermal Treatment Practices--Final Report,"" Mar. 2011, Burnaby, BC. cited by applicant . Prabir Basu, ""Biomass Gasification and Pyrolysis: Practical Design and Theory,"" Jun. 2010, Elsevier Inc. cited by applicant . Dezhen Chen et al., ""Pyrolysis technologies for municipal solid waste: A review,"" Waste Management, Sep. 2014, pp. 2,466-2,486, vol. 34, issue 12. cited by applicant . Younes Chhiti et al., ""Thermal Conversion of Biomass, Pyrolysis and Gasification: A Review,"" The International Journal of Engineering and Science (IJES), Jan. 2013, pp. 75-85, vol. 2, issue 3. cited by applicant."

Modeling of interaction of hydraulic fractures in complex fracture networks,"10,544,667",E21B 47/00 (20130101); E21B 43/26 (20130101); E21B 43/267 (20130101); G01V 2210/1234 (20130101),"E21B 47/00 (20120101); E21B 43/26 (20060101)Wu; Ruiting (Sugar Land, TX), Kresse; Olga (Sugar Land, TX), Weng; Xiaowei (Fulshear, TX), Cohen; Charles-Edouard (Rio de Janeiro, BR), Gu; Hongren (Sugar Land, TX)",SCHLUMBERGER TECHNOLOGY CORPORATION,"Methods of performing a fracture operation at a wellsite with a fracture network are provided. The methods involve obtaining wellsite data and a mechanical earth model, and generating a hydraulic fracture growth pattern for the fracture network over time. The generating involves extending hydraulic fractures from a wellbore and into the fracture network of a subterranean formation to form a hydraulic fracture network, determining hydraulic fracture parameters after the extending, determining transport parameters for proppant passing through the hydraulic fracture network, and determining fracture dimensions of the hydraulic fractures from the hydraulic fracture parameters, the transport parameters and the mechanical earth model. The methods also involve performing stress shadowing on the hydraulic fractures to determine stress interference between fractures and repeating the generating based on the determined stress interference. The methods may also involve determining crossing behavior.",Schlumberger Technology Corporation,US,No other references field

Railway wheels monitoring system and method,"10,543,859",G01N 21/8851 (20130101); G06T 7/85 (20170101); G01N 21/952 (20130101); B61K 9/12 (20130101); G06T 7/62 (20170101); G06T 19/20 (20130101); H04N 13/246 (20180501); H04N 13/204 (20180501); G06T 7/001 (20130101); H04N 13/239 (20180501); G06K 9/00771 (20130101); G06T 2207/10012 (20130101); G01N 2021/8887 (20130101); G06T 2207/10028 (20130101); G06T 2207/30164 (20130101),"G06K 9/00 (20060101); G06T 7/62 (20170101); B61K 9/12 (20060101); H04N 7/18 (20060101); G06T 7/80 (20170101); G06T 19/20 (20110101); H04N 13/204 (20180101); G06T 7/00 (20170101)Gomes; Ana Claudia Da Silva (Belem, BR), Botelho De Souza; Cleidson Ronald (Belem, BR), Garibay; Adan Salazar (Irapuato, MX), Gutierrez; Andres Hernandez (Tepic, MX)",VALE S.A.,"It is described a system and method to monitor railway wheels, which includes obtaining images of the railway wheel by means of stereo cameras and performing a three-dimensional and two-dimensional model of the railway wheel by means of these images. This two-dimensional model is subjected to analysis of the profile of the railway wheel, comparing it with a two-dimensional model of an ideal wheel and thus measuring the effective wear of its profile. The three-dimensional model is subjected to analysis of the surface of the railway wheel, also comparing it with a three-dimensional model of an ideal wheel and thus measuring the effective wear of its surface.",VALE S.A.,BR,No other references field

