Numer	Journal	Field
1	Acta Agriculturae Scandinavica B - Plant Soil Sciences	Agriculture, Fisheries & Forestry
2	Acta Scientiarum - Agronomy	Agriculture, Fisheries & Forestry
3	Advances in Agronomy	Agriculture, Fisheries & Forestry
4	Agricultura Tecnica	Agriculture, Fisheries & Forestry
5	Agricultural and Food Science	Agriculture, Fisheries & Forestry
6	Agricultural and Food Science in Finland	Agriculture, Fisheries & Forestry
7	Agricultural Systems	Agriculture, Fisheries & Forestry
8	Agricultural Water Management	Agriculture, Fisheries & Forestry
9	Agriculture, Ecosystems & Environment	Agriculture, Fisheries & Forestry
10	Agrochimica	Agriculture, Fisheries & Forestry
11	Agronomie	Agriculture, Fisheries & Forestry
12	Agronomy for Sustainable Development	Agriculture, Fisheries & Forestry
13	Agronomy journal	Agriculture, Fisheries & Forestry
14	AMA, Agricultural Mechanization in Asia, Africa and Latin America	Agriculture, Fisheries & Forestry
15	American Journal of Agricultural and Biological Science	Agriculture, Fisheries & Forestry
16	American Journal of Alternative Agriculture	Agriculture, Fisheries & Forestry
17	Annals of arid zone	Agriculture, Fisheries & Forestry
18	Annals of biology	Agriculture, Fisheries & Forestry
19	Applied engineering in agriculture	Agriculture, Fisheries & Forestry
20	Applied Soil Ecology	Agriculture, Fisheries & Forestry
21	Archives of Agronomy and Soil Science	Agriculture, Fisheries & Forestry
22	Arid Land Research and Management	Agriculture, Fisheries & Forestry
23	Arid Soil Research and Rehabilitation	Agriculture, Fisheries & Forestry
24	Australian Journal of Agricultural Research	Agriculture, Fisheries & Forestry
25	Australian Journal of Experimental Agriculture	Agriculture, Fisheries & Forestry
26	Australian Journal of Soil Research	Agriculture, Fisheries & Forestry
27	Berichte uber Landwirtschaft	Agriculture, Fisheries & Forestry
28	BioCycle	Agriculture, Fisheries & Forestry
29	Biogeochemistry	Agriculture, Fisheries & Forestry
30	Biological Agriculture and Horticulture	Agriculture, Fisheries & Forestry
31	Biology and Fertility of Soils	Agriculture, Fisheries & Forestry
32	Biosystems Engineering	Agriculture, Fisheries & Forestry
33	Bodenkultur	Agriculture, Fisheries & Forestry
34	Bragantia	Agriculture, Fisheries & Forestry
35	California Agriculture	Agriculture, Fisheries & Forestry
36	Canadian Agricultural Engineering	Agriculture, Fisheries & Forestry
37	Canadian Biosystems Engineering / Le Genie des biosystems au Canada	Agriculture, Fisheries & Forestry
38	Canadian journal of plant science. Revue canadienne de phytotechnie	Agriculture, Fisheries & Forestry
39	Canadian Journal of Soil Science	Agriculture, Fisheries & Forestry
40	Ciencia del Suelo	Agriculture, Fisheries & Forestry
41	Ciencia e Agrotecnologia	Agriculture, Fisheries & Forestry
42	Ciencia Rural	Agriculture, Fisheries & Forestry
43	Communications in Soil Science & Plant Analysis	Agriculture, Fisheries & Forestry
44	Compost science & utilization	Agriculture, Fisheries & Forestry
45	Computers and Electronics in Agriculture	Agriculture, Fisheries & Forestry
46	Discovery and innovation	Agriculture, Fisheries & Forestry
47	Engenharia Agricola	Agriculture, Fisheries & Forestry
48	Eurasian Soil Science	Agriculture, Fisheries & Forestry
49	European Journal of Agronomy	Agriculture, Fisheries & Forestry
50	European Journal of Soil Biology	Agriculture, Fisheries & Forestry
51	European Journal of Soil Science	Agriculture, Fisheries & Forestry
52	Experimental Agriculture	Agriculture, Fisheries & Forestry
53	Field Crops Research	Agriculture, Fisheries & Forestry
54	Geoderma	Agriculture, Fisheries & Forestry
55	Grass & Forage Science	Agriculture, Fisheries & Forestry
56	Horticultura Brasileira	Agriculture, Fisheries & Forestry
57	Indian Journal of Agricultural Sciences	Agriculture, Fisheries & Forestry
58	Indian Journal of Agronomy	Agriculture, Fisheries & Forestry
59	International Agricultural Engineering Journal	Agriculture, Fisheries & Forestry
60	International Agrophysics	Agriculture, Fisheries & Forestry
61	International Journal of Agricultural Research	Agriculture, Fisheries & Forestry
62	Irrigation and Drainage	Agriculture, Fisheries & Forestry
63	Irrigation and Drainage Systems	Agriculture, Fisheries & Forestry
64	Irrigation Science	Agriculture, Fisheries & Forestry
65	Journal of Agricultural Engineering Research	Agriculture, Fisheries & Forestry
66	Journal of Agriculture and Rural Development in the Tropics and Subtropics, Supplement	Agriculture, Fisheries & Forestry
67	Journal of Agriculture of the University of Puerto Rico	Agriculture, Fisheries & Forestry
68	Journal of Agronomy	Agriculture, Fisheries & Forestry
69	Journal of Agronomy and Crop Science	Agriculture, Fisheries & Forestry
70	Journal of Central European Agriculture	Agriculture, Fisheries & Forestry
71	Journal of cotton science	Agriculture, Fisheries & Forestry
72	Journal of Crop Production	Agriculture, Fisheries & Forestry
