journ_id,formal_name,subd_id
1,[Chung-Hua Yen Ko Tsa Chih] Chinese Journal Of Ophthalmology,41
2,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,319
3,[Nippon Koshu Eisei Zasshi] Japanese Journal Of Public Health,447
5,[Rinsho ketsueki] The Japanese journal of clinical hematology,19
6,"10th International Symposium On Integrated Circuits, Devices And Systems, Isic-2004: Integrated Systems On Silicon - Proceedings",66
7,11th Adipec: Abu Dhabi International Petroleum Exhibition And Conference - Conference Proceedings,266
8,11th Conference On Mesoscale Processes And The 32nd Conference On Radar Meteorology,97
9,"11th IEEE International Conference On Electronics, Circuits And Systems, Icecs 2004",66
10,"11th International Conference On Architectural Support For Programming Languages And Operating Systems, Asplos Xi",458
11,"12th IEEE International Conference On Advanced Thermal Processing Of Semiconductors, Rtp 2004",439
12,12th International Conference On Multiphase Production Technology '05,242
13,13th Conference On Interactions Of The Sea And Atmosphere,404
14,13th IEEE Workshop On Local And Metropolitan Area Networks (Lanman 2004),5
15,13th Joint Conference On The Applications Of Air Pollution Meteorology With The Air And Waste Management Association,404
16,14th International Conference And Exhibition On Liquefied Natural Gas,417
17,"15th International Conference On Microwaves, Radar And Wireless Communications, Mikon - 2004",65
18,16th Conference On Biometeorology And Aerobiology,404
19,16th Symposium On Boundary Layers And Turbulence,404
20,17th International Conference On Water Jetting: Advances And Future Needs,90
21,"18th Annual Waste Testing And Quality Assurance Symposium, Wtqa 2002 - Proceedings",507
22,"19th Annual Acm Conference On Object-Oriented Programming, Systems, Languages, And Applications, Oopsla'04",458
23,"1st International Symposium On Wireless Communication Systems 2004, Proceedings Iswcs '04",5
24,2000 IEEE Wireless Communications And Networking Conference,5
25,2001 IEEE Fourth Workshop On Multimedia Signal Processing,370
26,2001 IEEE Symposium On Human-Centric Computing,458
27,2001 IEEE Workshop On High Performance Switching And Routing,428
28,2001 International Conference On Computational Nanoscience - Iccn 2001,13
29,2001 International Conference On Modeling And Simulation Of Microsystems - Msm 2001,448
30,2001/2002 Tappi Technical Information Papers,60
31,2002 International Conference On Computational Nanoscience And Nanotechnology - Iccn 2002,448
32,2002 International Conference On Modeling And Simulation Of Microsystems - Msm 2002,448
33,"2003 IEEE Power Engineering Society General Meeting, Conference Proceedings",153
34,2003 International Mechanical Pulping Conference,332
35,2003 Nanotechnology Conference And Trade Show - Nanotech 2003,38
36,2003 Rcra National Meeting: Putting Resource Conservation Into Rcra,507
37,"2004 10th International Workshop On Computational Electronics, IEEE Iwce-10 2004, Abstracts",439
38,2004 11th International Conference On Harmonics And Quality Of Power,153
39,2004 12th Symposium On Electromagnetic Launch Technology,92
40,2004 1st IEEE International Conference On Group Iv Photonics,46
41,2004 1st IEEE Lightwave Technologies In Instrumentation And Measurement Conference,219
42,"2004 1st IEEE Technical Exhibition Based Conference On Robotics And Automation, Proceedings, Texcra 2004",193
43,"2004 1st International Conference On Electrical And Electronics Engineering, Iceee",455
44,2004 1st International Conference On Power Electronics Systems And Applications Proceedings,455
45,2004 2nd IEEE International Symposium On Biomedical Imaging: Macro To Nano,450
46,2004 2nd International IEEE Conference 'Intelligent Systems' - Proceedings,526
47,2004 4th IEEE Conference On Nanotechnology,185
48,2004 4th IEEE International Conference On Polymers And Adhesives In Microelectronics And Photonics,223
49,2004 4th IEEE-Ras International Conference On Humanoid Robots,193
50,"2004 4th International Conference On Microwave And Millimeter Wave Technology, Icmmt 2004",65
51,"2004 4th International Crimean Conference: Microwave And Telecommunication Technology - Conference Proceedings, Crimico'04",65
52,"2004 4th Workshop On Applications And Services In Wireless Networks, Aswn",5
53,2004 5th Asian Control Conference,96
54,"2004 7th International Conference On Signal Processing Proceedings, Icsp",409
55,"2004 8th International Conference On Control, Automation, Robotics And Vision (Icarcv)",433
56,"2004 9th IEEE Singapore International Conference On Communication Systems, Iccs",5
57,"2004 Aiche Spring Meeting, Conference Proceedings",417
58,"2004 Aiche Spring National Meeting, Conference Proceedings",417
